company,title,sentiment,relevance,confidence,published_at,source,url,reasoning
"Stoke Space","Reusable-Rocket Maker Stoke Space Gets $1B Series E Boost","positive","relevant","0.90","2026-09-09T01:31:00.000Z","Law360","https://news.google.com/rss/articles/CBMiVkFVX3lxTE03RFRwanFZVEZ2elktclB4TlhNb0lkMXVvclZDZW1XOTJacDE3cDhXVkVXUEY3RzhOeFJBRWdRb3RTUXpCQkhJRmM3d0hkbFpTM1RSWW1R0gFWQVVfeXFMTTdEVHBqcVlURnZ6WS1yUHhOWE1vSWQxdW9yVkNlbVc5MlpwMTdwOFdWRVdQRjdHOE54UkFFZ1FvdFNRekJCSElGYzd3SGRsWlMzVFJZbVE?oc=5","$1B Series E funding indicates significant investment in Stoke Space"
"Lambda","UCLA suspends campus chapters of Lambda Chi Alpha, Sigma Alpha Zeta for hazing","neutral","irrelevant","1.00","2026-09-09T01:14:00.000Z","Daily Bruin","https://news.google.com/rss/articles/CBMisAFBVV95cUxPaVJrdkJYclA4cjlRenN6dm1LY3FEc0hPZFB1Ym9TNXczLTdiMGpOXzdVMUhsejhGZEEtZ085VEh2bmdpYTVwTVloOUVlSXI2WF9xVXZWLXVMZ2QtVUdMaXoySEpQQkFsQTBqR1d3SXVWX0pMZFdvTVJEUlo2UUlfay13cndwSXJPdGdxamJQZjZLOThCSnVEbFMyM0FfT25TeXcyOE9LdTIxWW02UWpiZQ?oc=5","Fraternity name mismatch"
"EquipmentShare","REMINDER: EquipmentShare.com Inc. Investors With","neutral","relevant","0.80","2026-09-09T00:00:00.000Z","GlobeNewswire","https://news.google.com/rss/articles/CBMiowJBVV95cUxQNGtpbXl0WDVqNEVscUdBLU1sWHJIZXlxTTc5RUN6TGYwY3pBQmpLM2p4cUhCM3VEbDdKSlAzZDVQTi1oNEpTYlczZUVFQ3pla0k1aWVBakVwcTZyM0tDM2swamdkLWpqdk9mdXVJUjBZRndxZ1FqUnkxeWRDbklMVGllUWt4VmFDeW5aWXlZUi14bXF6VXBFSlp1UFpnSUpYTlA1S0lJa25jam0yQnBMM2gya1NRY04yZEtqcE9xV21qZ0dwenpfbVJBdXlhR09HODRNNGo4UlFOWWVnZ1oxN3RQQkFwVHBodUxaODB4NkVXSzFvZlpsek81bTdaMzJYcHMxZUhBWUttYkZhT3pqcXVUTEdPUG5pdEtuQnJsV0ttNUE?oc=5","Routine reminder to investors, no specific company news or updates"
"EquipmentShare","EQPT News Today | Why did EquipmentShare.com stock go down today?","negative","relevant","0.80","2026-09-08T23:53:28.000Z","MarketBeat","https://news.google.com/rss/articles/CBMiYEFVX3lxTE5uenFoOXF0clU4b3VvcUtsczVHZ0hVQXhQSXQ1UEZYVEkzdXdleUZQWWVXSk5IR3c5eFhlcjd3bFZHOTZEOTBVdjJHMEw4TkZiaDVFaFFWYlZkOTNHQ21FMw?oc=5","Stock price drop implies negative impact on company's business prospects"
"MasterClass","Take a Mixology Masterclass to elevate your home bartending game","neutral","relevant","0.80","2026-09-08T23:49:14.000Z","KLAS 8 News Now","https://news.google.com/rss/articles/CBMirgFBVV95cUxNNS1mTjlmOG45ekg5UjJjNURCcTNKRU9vZVpacUF1NHFmSlhfbTdrSEZ1MEdYRDZmZWY0aXdaLU9sZ1Mzb2ExLUdvY21qSWdTUEk3YUl6bGM3eVZkVzZrMm0zaDdFYlJ2M2dTNkc3Wl9BUkdmVGhmYlVPODR5eklUd2VmbVpJVE1KU1JfNlp2NEtmNHZ4bUlDQjREUmJSNnBIS1VoWkJhTU9SZXBjRVHSAbMBQVVfeXFMT0o5RS1PWUxTVUlidmFaWnAwMm10WjA5UTRnN1ZQMFByNXJDMW1hZ0xxb0dmSF9FU3U0UEVLM1BQMENmRXZEdEloOUVkaDZqVW1WbGtCdDhPN3JZZ00xY3puVHlvclFjM1FtdlNGUWRPb3RuWVFHZGFGVHN4bVJ6OGk4Q0hjM3BPZTVENjczd2tfTDZGSU80c1NycTVlNXlmOUVtTnZkQy1iY0hvNzdOMWZhb0U?oc=5","Article uses MasterClass name correctly in a generic, non-business context."
"Alpha Tau","Why Did DRTS Stock Surge 22% Today?","neutral","irrelevant","0.80","2026-09-08T23:48:33.000Z","Stocktwits","https://news.google.com/rss/articles/CBMimwFBVV95cUxPelI0MjdVem42NU1kSDhRVnpfVHhVdno2aTg4am5JU2dDVmtMNE04OGFuVVNPdWhoUmVtT1lMQmswc055ZTM4SXJDRXVYWHlDd3lGYVFsNThvS3VZTDNSVXN3WFNGS0dlN1h6LXJKSGZlVFhwNlJPUlhHQlkzMXRKbXFrcUhudGttaE5VTmpQaUZCSnMzRGNWM29lVQ?oc=5","Company name DRTS does not match Alpha Tau"
"Anthropic","Exclusive | Anthropic Researcher Quits Over ‘Out-of-Control’ AI Fears","negative","relevant","0.90","2026-09-08T23:46:00.000Z","WSJ","https://news.google.com/rss/articles/CBMilwFBVV95cUxNNkJNMUhyUzQ3M1FsRFZMcUhKMGFFeFpsdnJaVzM4T2duWVVFYTk4ZUpXN0dRemFMUjZ3bC1CZ29ETjF4dWlScEQ5UVZDYVhLOUt0YVVmV1JfdjVoZWVpcXVyTFhDdjNTN0NIc2h6bXdRbkZDek5RX3poR0JkRE5XdG55ZFFJRGNqRWllSzllQk56LWJHYURn?oc=5","Researcher's departure implies AI safety concerns, potentially impacting Anthropic's business prospects"
"Rewire","Researchers rewire ribosomes to specialize in one protein","neutral","irrelevant","0.80","2026-09-08T23:40:01.000Z","Phys.org","https://news.google.com/rss/articles/CBMiekFVX3lxTE9tdjhaY0tjYVdSLVhWOEQ1ekNqamFuRElraGFOeFRxTEIxaWdWaFhVbGEtbXlOcW81cElweFdMVVJOZDBpb2RxSnNnaHRDaG9EVEF2TVNRVVBZQUZWcjEyNXFJX2VDRlhqcHo4b1ZKMlZ6NmtmaXdzX1dn?oc=5","Article discusses biological ribosomes, not Rewire's financial or business activities."
"Stoke Space","Debrief: Stoke Space $1B Round Shows Deep Hunger For Space Launch","positive","relevant","0.90","2026-09-08T23:24:53.000Z","Aviation Week","https://news.google.com/rss/articles/CBMiuAFBVV95cUxPTjJGa29BbGxZOE5TS0RPVUctTERHdHVLcnFqSXNLeGRXOVdiaENMRFRJWGhSZ2FwSkFvOU9TalNTSEFNY1BtdXI3SWp3MVFXd1ZJd0J4c2RMU3Q2Tk9vajBuQk5ZOG1BRUNMYkNLVzJxQ2Q3a3NqRmhxbGh5dFE0U0xfVWFNTUREY3htZHlsTm9QRTU1X1FSV2JYaDdzVm9EdEhhNU9fVzdROE8xeFZaYXo4TE55dWV3?oc=5","Article mentions Stoke Space's $1B funding round as evidence of market demand."
"MasterClass","Great Spaces: A Masterclass in Modern Luxury Mountain Living","neutral","irrelevant","0.90","2026-09-08T23:05:46.000Z","RISMedia","https://news.google.com/rss/articles/CBMinAFBVV95cUxNUTVtVWo3VTNlaEJKcVJBUWNtdVkzNHFlWmdqUzNhSTZyaC1lWTlWMEN1UTlWVzFfX0VZOXhyZFh4V2RkN2EyZUdzYUo0TG9QQjRFRHhvRXRRYnBKMElyS21kMS05X01KZVRoX1h0QUhOWXp4OURQb2RzS0hUQkdhNU1qZlI2VDhtcGxSbjkwdjFDZkJzT3Z0SlVEN0g?oc=5","Article appears to be about interior design, not the online education platform MasterClass."
"Astra","OpenAI Launches GPT-6 Astra: A Major Leap in Computer Control and Cybersecurity","neutral","irrelevant","0.80","2026-09-08T22:55:05.000Z","iphoneislam.com","https://news.google.com/rss/articles/CBMieEFVX3lxTE1WN3Q3YTJud1h4T3YxZlc1MjBDYk5VZ3FtS0ZIT0tHN1pTclI2YkRjckFxR3o2UDl6dThHYVJ4cTBGNXNHaXRFTG5uWWhncldEV0kyOC1FZUQ3bnR1bEZzSEJVUU1ldTQ3VmROUFVxc2tpUjIyb3BRQg?oc=5","Astra is a space launch vehicle company, not related to AI or computer control"
"Stoke Space","Stoke Space Raises $1B Series E, Total Funding Hits $2.3B, Unveils Larger Nova Block 2","positive","relevant","0.90","2026-09-08T21:59:05.000Z","Wowtale","https://news.google.com/rss/articles/CBMiU0FVX3lxTE1WZ2hUUmlYeFFIdU1CLVphSEdfRDRXNTBobE1fdVlsbm1XOUJuSHp3YmpQUm1Rb0RoMnZ0NEZtRnVlazNEUmNzZ1NpWFY5SWpET3k0?oc=5","Funding and product launch announcement for Stoke Space"
"Stoke Space","Stoke Space Raises $1 Billion As Startup Approaches First Launch","positive","relevant","0.90","2026-09-08T21:45:47.000Z","Defense Daily","https://news.google.com/rss/articles/CBMioAFBVV95cUxPbEY2NHZ2SU9laGExZzNocGsybk1jR1BfZE12TFFrLWgzUnRnX3l0VG8wclpaX2JYdVBsVjE5ek9KaFozODhUc1ktcEZJVXpYcF9MN3BCUTVZYTI2OEVOa2JGb2l3a0stUDlMRmp5clpkOEJMdUpRV1RQbkVQZjJuSlNkdFRJbFVXUEpuVWNQcWJfZDN3elpiTzZvX0JTQjFF?oc=5","Funding round and approaching first launch indicate positive business prospects"
"Guild","International Sommelier Guild and Georgia's Ministry of Environmental Protection and Agriculture Announce Upcoming Five-Year Wine Education Initiative","neutral","irrelevant","0.80","2026-09-08T21:33:12.000Z","wineindustryadvisor.com","https://news.google.com/rss/articles/CBMiygFBVV95cUxNcVk1cTh2Qmo1dXhsN3M0OG1hNldhNlhqTW5wdHB6SXluSDdBZjBtQkpmcVc3QTV3OHc4TnEtMDNEQ0xRc0hvZ3R4a2xVeVUxTWZYODFzVEpOZ1FqekJQVTFfZGJraUZBNHE5ZkFybTdULU1FMkU5cjJsWEFGX1ZKMllIREhXSG1CWGFqOGtXTXlwWE8zZ092dS1DRkFwalYwbWlrMTY0bm5VbVlkbmt4QlVlYXMwQmhKaTR1WW9MeDk0SlcwMExINXRB?oc=5","Different organisation, unrelated to corporate education benefits"
"Together AI","Seeing smarter: TCL CSOT brings together AI-driven thinking and APEX Pixel innovation","neutral","irrelevant","0.80","2026-09-08T21:10:27.000Z","TechCrunch","https://news.google.com/rss/articles/CBMivAFBVV95cUxONzg0cTBJYWxWY2FaZlpiMFlhQTNuNEdQVXFDN3Rxc2cyQzRTRjA0bmUwd3dpVDc1NHJwa25NSUpvYUE1TmxmZGM3S2ZVc1huaHc1c1p6NktUcDdFSlRUS0dJbS1QeEVER0cyWElSaE1abEpybHpNUUVjRHNsTl9Ham5QVkp3Y2ZjSWsxV2VlT01tU2VRWldXRHFUZndWc0o1dVM1S2QtWEo1VlRKQlAwcFdJTlVhTDU3cGNRUw?oc=5","TCL CSOT is mentioned, not Together AI"
"Arbe Robotics","12 Information Technology Stocks Moving In Tuesday's After-Market Session","neutral","irrelevant","0.80","2026-09-08T21:06:03.000Z","Benzinga","https://news.google.com/rss/articles/CBMiywFBVV95cUxNYXNaZS1QbHJxRzlLczI0NUYzMVllZkxRbklrMVJpWTBiNXh6cG90N3hEUTl4SU02TGpRaW82Y0NESThybkgyZnZXTDVYd0RNd2lYcThRV2VyQzhIckg0UGViTUdEb1p2Z3dKRUdpNkhkQ1NvUEFoV0xfVkdNby1Ia0R5OXNCSlhhVGo0YmRMLWFLWGxYaUh3MDRaS1JtcmZuVkJCeEtpM3FuRGZJN0F3bEZvZk54RDdubmYwT2l0R0dIRUYtcWNvX1NvVQ?oc=5","No specific mention of Arbe Robotics in the snippet."
"Silo","Silo on Apple TV+: Season 4 Release Date, Cast, Story, Ending and Everything You Need to Know","neutral","irrelevant","1.00","2026-09-08T20:52:42.000Z","BBN Times","https://news.google.com/rss/articles/CBMivgFBVV95cUxQX2J2a2ktUlc4QkcyY2NEZWdVNllBMmkxZHk4SngyN2IyNnRiNE1KT3hBTFlFMjB5U2VNcFR6d29VU1Y0MzUxdi04OW9HRE4tU1p2NHB1Z3AydVpWNXk0dzZHcnlQT3Zka2ZOVHJRTVBKTFRDWUxBamdWWVl0cUx6SFMyejNuT1FXMjNqa2tvTTRQT2hOWVBhcmYzMGdETk1FZWdmTFQxelo5a2FuY3ppMEFZQmI3VkhWZ3lXVldR?oc=5","Article is about a TV series, not a produce supply-chain technology company"
"Stoke Space","The Exploration Company nabs $450 million to challenge SpaceX","neutral","irrelevant","0.90","2026-09-08T20:47:34.000Z","Yahoo Finance","https://news.google.com/rss/articles/CBMingFBVV95cUxOOEtsak9MekJGcENNUmxteFNxcEJUUVNPNXlrTy1fd0d1amdCbE5iSmxZLTVmWWZpVzFwbDBRb3ByVzZIZGtFSWdTbHlJdWpoQjZjMXprRnVaVzYtLXBuVVp3RUpGV0N4cEdoOG90b1RFUzhQUnAzSGZBZUpkN1Y3OF9kWTNtRjZKYlltLWYzXzJ2YTdNSkVIVDNxN3dvdw?oc=5","The article mentions a company challenging SpaceX, but it's not Stoke Space."
"Stoke Space","Kent rocket startup Stoke Space raises $1 billion","positive","relevant","0.90","2026-09-08T20:42:00.000Z","The Business Journals","https://news.google.com/rss/articles/CBMioAFBVV95cUxQVFpMLTFiN1hycUJicnQ0QlFwX3lpZ1QycGJENDZDNElNMDA3MzBNNFdMajd1c1Vsb0hmeVRNbTRUdTRINFJpVjNPb19ab3M1UHpJUEprQzBfdkNKVGVsRm5SSTliOUFYcWg4dGI2RXBnQmRIRVRZd1JpcktWQlhWQl9VZVFjaHRqRWhmYkVjMk90NFVkOXBseUNZOVZacnB5?oc=5","Funding round reported, indicating successful business prospects"
"Replay Technologies","""We aim to be the global standard""","neutral","irrelevant","0.80","2026-09-08T20:38:36.000Z","גלובס","https://news.google.com/rss/articles/CBMiaEFVX3lxTE1FdWNiTTBWN2x2X1ctS1lrQ0VDN0xWLWNvemtYSUxScUpWSlo0bFJlX0ltUkdwRmpTaC1hX1JRek9UZXFtNlJ2MXpDUW1FUGVXTHFEODdSVEY5bkY5WDN5eG5EaTVUTklT?oc=5","Snippet is too thin to identify company, but context suggests a generic business statement"
"Hub Security","Shareholders at Hub Cyber (HUBC) back reverse split but vote down pay changes","neutral","relevant","0.80","2026-09-08T20:33:10.000Z","Stock Titan","https://news.google.com/rss/articles/CBMiugFBVV95cUxQMHVydW5aZ083RUNSZGl6Q0NYc1BZNmFKMHdzMEpPQmpiWlNUTWE1NkhQa3NpUlRBd0thanEzQVVuOG9uLWZsdUlnWmE5OVV5Q3FWUlIxbU56bG45WE5YZHM2dHI2NS02UDVhNlI2cDNuSUZMUGN2OFJZcnZCaWxHbDBHd2xiVXRPZzJxWUFjUUlGMHAzOS0xMDlHR2hZMUNJbWROT3pFOUFoZFNwZnZnUHdOcmVXZDgyZ0E?oc=5","Shareholders' vote on reverse split and pay changes is a routine corporate matter."
"Stoke Space","Stoke Space Raises $1B as Startup Approaches First Launch","positive","relevant","0.90","2026-09-08T20:25:30.000Z","Via Satellite","https://news.google.com/rss/articles/CBMiqwFBVV95cUxNQTJBNU4xdl9udmF4Rm5oQU5rVFZTREFYa25EUHpiZktTNTd4c1l1NHBkUlJMUE16YzR4YVM0S0xXTGYtV2syb2NRUmJBTkR0VllQOTNWU1RSWDVHRjFlR3JKd3pIUDZfdnZFU2lSN21BSlBuLWNfLUl2UzdSUW9ZWkFNR2UtNmFjSXROZGhfV2V0R01xRXppazVudnc0VnNSYmgzdV9hMzdHYlU?oc=5","Funding round and launch milestone indicate positive business prospects"
"Stoke Space","Stoke Space Raises $1 Billion Series E to Develop Nova Pathfinder and Challenge SpaceX: 12 outlets compared","positive","relevant","0.90","2026-09-08T20:04:01.000Z","NewsCord","https://news.google.com/rss/articles/CBMi6gFBVV95cUxPQWdGMVVFV01Tc0ZwTFBMVC1zYnRuT3ctdnpndDBmR3lvQ0N5WTBXRk9aVDMxWWVDNjd2NkF4NkcwOGlCeWhnWlJmRnVxbk5rT3dmZEtDRW53b1A3MVlDalhmaml5NGNMY0NwMTBycG9oV2hEU3Y4UjZxSzhhZHRIR0IwckgwYXVmaUxhVnRzalZTbWkwVzRORmhDUTBDdTZjWlJWVFA0bHRkS2xVTEhoSWh4WGFYLWl0cmh0MWEtQldwbUlrNzhDVWp3Unlwd1p4bkxKNGtiZ3JFY1FTSGl5U2lWbFhEbnNPdUE?oc=5","Funding round and competitive challenge indicate company's growth and ambitions."
"MasterClass","People think his team got robbed at Michigan. His response was a ‘masterclass’","neutral","irrelevant","0.80","2026-09-08T19:55:58.000Z","The New York Times","https://news.google.com/rss/articles/CBMimwFBVV95cUxOT0RUakJ6aDFoWmJVZnlzNE1mcml5VDhESlFPTUxERFVOQTdxWkFCRVNvY0MxWV96YWsxc1B0RWlvcnVYeU1fTGxpZ1Z6MHhTVFpoOXlCU2l6OWd2bGRNWk54bUdDakpPaEk0dVhaRlZ4QllicHJ2TVp1VkNFRDlBMWFEazZva2IyUVFnZS1TSi1ld25aNkN5d3lNQQ?oc=5","Article is about a sports team, not the online education platform MasterClass."
"Stoke Space","Stoke Space CEO Andy Lapsa on how firm will deploy billion-dollar Series E round","positive","relevant","0.90","2026-09-08T19:46:32.000Z","qz.com","https://news.google.com/rss/articles/CBMic0FVX3lxTE5yVWhPZjNfZWtlRjcydFp1U0xGdkFSRFRIUkp4Z1FGVHBGaFAzQ2h5WDBTUVBIVThFQVhCM2dhZGIxaG1oaVV4ZjNMczJPbUg5eGF6VkROb21FUE9wUHoydzNXNkV1clJGYTVyRHhfd1FINlU?oc=5","CEO discussing deployment of large funding round"
"Launchpad","What Happens When a Fast-Growing New York AI Startup Finds a Chinese AI Company Has the Same Name?","neutral","irrelevant","1.00","2026-09-08T19:27:28.000Z","Chinook Observer","https://news.google.com/rss/articles/CBMi8wFBVV95cUxOS2NQM19WTzVlOVNtZ0xnbS1LbW1xWVh6cXozRjNmbmhVYk1zZXcxSGRMMjdkeHJKVk56cXNhRmRhWmNVbVl0SHNPckxnRVVLYjZQM2tDZ1AxbzRXY3paZVNFcGQxVUZveXd0WlIxSzhiUmpjVl9wN2FyaGFpZEdqU0FlOUxaTHJienZLLXpOLTlReUt4OUJwYUNPYkVaNy1XMmFjRlVCS2xjMTN2cnRBZE5zYnZveXlfMEg3Vm5qX21vUTl5MlJ6eTBjVHgydDBHWENiWXN2VUE4WTIzcEF5ZnlYWEFnUWdXMGtJeXBfc1hLWDQ?oc=5","Article is about naming conflict, not the company's business"
"Stoke Space","Stoke Space raises $1 billion for fully reusable rockets, targets 'early 2027' for 1st-ever launch","positive","relevant","0.90","2026-09-08T19:23:56.000Z","Space","https://news.google.com/rss/articles/CBMi7gFBVV95cUxNaC1iaUxraXpGMFFFMlEwZTVKQ2hITzdBWVNCWVViX1NBNE11ZVdkcjkwZDRydmdwVnlsQ2VaM1FqelJzTThyRUVzR2h6ZkxKRjJnUHU0ODNHSUVPY2hzcDdJM0hIRi1COUoxOE9GVjF3cUt0dFRpMUlWcE1BTE8xd3U1RlpJQTFGX3dTdHh4MVBzQmRmVV9VZ0tMRDZIQk9pdElwYmdPQ09nYWRpZmlCMWJxOW94LXhRUUZad3EzWlhjMEZHMVJkOWFUM0Y2WHlTdm5UcXBKR3VhbTJNQkZNTV9pcWtVTlhKWkkycGpn?oc=5","Funding and launch timeline announced for Stoke Space"
"Future Family","Selena Gomez Has 2 Words About Future Family Plans With Benny Blanco","neutral","irrelevant","0.80","2026-09-08T18:52:30.000Z","Yahoo","https://news.google.com/rss/articles/CBMingFBVV95cUxQZ0dKVXlyRklnTDliQlBmSUdYZ05HMnl1RF82X0JLM21VWTBtaHZRckQ0bzhvVVd4emtYRTU5NHJ6b0FFSG15Z1V2Ny1zXzJJVGN5bXlrVFotb2pUQUdHMlJPM0tVQWlZWlFwT2EzWHZJQUVPUFUwZEdveHZJSjZaQlZmSkFjcHJWZ3lVUmRsOHhNTFJ1UkhydVNHcmlVQQ?oc=5","Article is about Selena Gomez's plans with Benny Blanco, not Future Family's business prospects."
